Transactionid,EMI Amt. (Rs.),Date,LID,Applicant Name,Repayment Type,AMOUNT RECEIVED,CF Amount,AMOUNT TO BE CF,Total Amount Due,STATUS,REMARKS
LOAN0228644306,1090,2021-05-05,#REF!,#REF!,#REF!,1090,,0.00,1090,RECEIVED,
LOAN0229144310,419,2021-05-05,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0229244310,419,2021-05-05,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0229344310,299,2021-05-05,#REF!,#REF!,#REF!,299,,0.00,299,RECEIVED,
LOAN0229444310,419,2021-05-05,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0230244310,419,2021-05-05,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0230644310,419,2021-05-05,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0230744310,299,2021-05-05,#REF!,#REF!,#REF!,299,,0.00,299,RECEIVED,
LOAN0230844310,299,2021-05-05,#REF!,#REF!,#REF!,299,,0.00,299,RECEIVED,
LOAN0231144310,299,2021-05-05,#REF!,#REF!,#REF!,299,,0.00,299,RECEIVED,
LOAN0231344310,419,2021-05-05,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0231444310,419,2021-05-05,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0231744310,299,2021-05-05,#REF!,#REF!,#REF!,299,,0.00,299,RECEIVED,
LOAN0231844310,419,2021-05-05,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0232044310,419,2021-05-05,#REF!,#REF!,#REF!,0,,419.00,419,RECEIVED LATE,Received on 13/05/2021
LOAN0232644310,419,2021-05-05,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0232744310,419,2021-05-05,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0233044310,299,2021-05-05,#REF!,#REF!,#REF!,299,,0.00,299,RECEIVED,
LOAN0233144310,419,2021-05-05,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0234044310,299,2021-05-05,#REF!,#REF!,#REF!,299,,0.00,299,RECEIVED,
LOAN0234344310,299,2021-05-05,#REF!,#REF!,#REF!,299,,0.00,299,RECEIVED,
LOAN0235144310,419,2021-05-05,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0235344310,419,2021-05-05,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0234144310,299,2021-05-05,#REF!,#REF!,#REF!,299,,0.00,299,RECEIVED,
LOAN0228644306,1090,2021-05-12,#REF!,#REF!,#REF!,"1,090",,0.00,1090,RECEIVED,
LOAN0229144310,419,2021-05-12,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0229244310,419,2021-05-12,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0229344310,299,2021-05-12,#REF!,#REF!,#REF!,299,,0.00,299,RECEIVED,
LOAN0229444310,419,2021-05-12,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0230244310,419,2021-05-12,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0230644310,419,2021-05-12,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0230744310,299,2021-05-12,#REF!,#REF!,#REF!,299,,0.00,299,RECEIVED,
LOAN0230844310,299,2021-05-12,#REF!,#REF!,#REF!,299,,0.00,299,RECEIVED,
LOAN0231144310,299,2021-05-12,#REF!,#REF!,#REF!,299,,0.00,299,RECEIVED,
LOAN0231344310,419,2021-05-12,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0231444310,419,2021-05-12,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0231744310,299,2021-05-12,#REF!,#REF!,#REF!,299,,0.00,299,RECEIVED,
LOAN0231844310,419,2021-05-12,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0232044310,419,2021-05-12,#REF!,#REF!,#REF!,838,419,0.00,838,RECEIVED,
LOAN0232644310,419,2021-05-12,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0232744310,419,2021-05-12,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0233044310,299,2021-05-12,#REF!,#REF!,#REF!,299,,0.00,299,RECEIVED,
LOAN0233144310,419,2021-05-12,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0234044310,299,2021-05-12,#REF!,#REF!,#REF!,299,,0.00,299,RECEIVED,
LOAN0234344310,299,2021-05-12,#REF!,#REF!,#REF!,299,,0.00,299,RECEIVED,
LOAN0235144310,419,2021-05-12,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0235344310,419,2021-05-12,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0234144310,299,2021-05-12,#REF!,#REF!,#REF!,299,,0.00,299,RECEIVED,
LOAN0229044313,421,2021-05-12,#REF!,#REF!,#REF!,421,,0.00,421,RECEIVED,
LOAN0235244313,301,2021-05-12,#REF!,#REF!,#REF!,301,,0.00,301,RECEIVED,
LOAN0234844313,421,2021-05-12,#REF!,#REF!,#REF!,0,,421.00,421,DELAYED,C/F to next Week
LOAN0234944313,301,2021-05-12,#REF!,#REF!,#REF!,301,,0.00,301,RECEIVED,
LOAN0235644314,881,2021-05-12,#REF!,#REF!,#REF!,881,,0.00,881,RECEIVED,
LOAN0235744314,881,2021-05-12,#REF!,#REF!,#REF!,881,,0.00,881,RECEIVED,
LOAN0236344314,881,2021-05-12,#REF!,#REF!,#REF!,881,,0.00,881,RECEIVED,
LOAN0237844314,881,2021-05-12,#REF!,#REF!,#REF!,881,,0.00,881,RECEIVED,
LOAN0238544314,881,2021-05-12,#REF!,#REF!,#REF!,881,,0.00,881,RECEIVED,
LOAN0238944314,881,2021-05-12,#REF!,#REF!,#REF!,0,,881.00,881,DELAYED,C/F to next Week
LOAN0239644314,881,2021-05-12,#REF!,#REF!,#REF!,881,,0.00,881,RECEIVED,
LOAN0239744314,881,2021-05-12,#REF!,#REF!,#REF!,881,,0.00,881,RECEIVED,
LOAN0240144314,881,2021-05-12,#REF!,#REF!,#REF!,881,,0.00,881,RECEIVED,
LOAN0236044314,881,2021-05-12,#REF!,#REF!,#REF!,881,,0.00,881,RECEIVED,
LOAN0236744314,881,2021-05-12,#REF!,#REF!,#REF!,881,,0.00,881,RECEIVED,
LOAN0236944314,881,2021-05-12,#REF!,#REF!,#REF!,881,,0.00,881,RECEIVED,
LOAN0232344313,301,2021-05-12,#REF!,#REF!,#REF!,301,,0.00,301,RECEIVED,
LOAN0237444314,881,2021-05-12,#REF!,#REF!,#REF!,881,,0.00,881,RECEIVED,
LOAN0237644316,879,2021-05-12,#REF!,#REF!,#REF!,879,,0.00,879,RECEIVED,
LOAN0239944316,879,2021-05-12,#REF!,#REF!,#REF!,879,,0.00,879,RECEIVED,
LOAN0240044316,879,2021-05-12,#REF!,#REF!,#REF!,879,,0.00,879,RECEIVED,
LOAN0240244316,879,2021-05-12,#REF!,#REF!,#REF!,879,,0.00,879,RECEIVED,
LOAN0237344316,879,2021-05-12,#REF!,#REF!,#REF!,879,,0.00,879,RECEIVED,
LOAN0231044316,615,2021-05-12,#REF!,#REF!,#REF!,615,,0.00,615,RECEIVED,
LOAN0241944316,879,2021-05-12,#REF!,#REF!,#REF!,879,,0.00,879,RECEIVED,
LOAN0228644306,1090,2021-05-19,#REF!,#REF!,#REF!,"1,090",,0.00,1090,RECEIVED,
LOAN0229144310,419,2021-05-19,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0229244310,419,2021-05-19,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0229344310,299,2021-05-19,#REF!,#REF!,#REF!,299,,0.00,299,RECEIVED,
LOAN0229444310,419,2021-05-19,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0230244310,419,2021-05-19,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0230644310,419,2021-05-19,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0230744310,299,2021-05-19,#REF!,#REF!,#REF!,299,,0.00,299,RECEIVED,
LOAN0230844310,299,2021-05-19,#REF!,#REF!,#REF!,299,,0.00,299,RECEIVED,
LOAN0231144310,299,2021-05-19,#REF!,#REF!,#REF!,299,,0.00,299,RECEIVED,
LOAN0231344310,419,2021-05-19,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0231444310,419,2021-05-19,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0231744310,299,2021-05-19,#REF!,#REF!,#REF!,299,,0.00,299,RECEIVED,
LOAN0231844310,419,2021-05-19,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0232044310,419,2021-05-19,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0232644310,419,2021-05-19,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0232744310,419,2021-05-19,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0233044310,299,2021-05-19,#REF!,#REF!,#REF!,299,,0.00,299,RECEIVED,
LOAN0233144310,419,2021-05-19,#REF!,#REF!,#REF!,0,,419.00,419,DELAYED,C/F to next Week
LOAN0234044310,299,2021-05-19,#REF!,#REF!,#REF!,299,,0.00,299,RECEIVED,
LOAN0234344310,299,2021-05-19,#REF!,#REF!,#REF!,299,,0.00,299,RECEIVED,
LOAN0235144310,419,2021-05-19,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
